iter	Passed	Remaining
0	1	184
1	3	170
2	4	160
3	6	150
4	7	148
5	9	146
6	10	144
7	12	141
8	13	139
9	15	138
10	16	136
11	19	139
12	20	139
13	22	138
14	24	137
15	25	135
16	27	133
17	28	131
18	30	130
19	31	127
20	33	125
21	34	124
22	36	122
23	38	121
24	40	120
25	41	118
26	43	117
27	44	115
28	46	113
29	47	111
30	49	110
31	51	108
32	52	106
33	54	104
34	55	103
35	57	101
36	58	100
37	60	98
38	61	96
39	63	95
40	64	93
41	65	90
42	67	88
43	68	87
44	70	85
45	71	84
46	73	82
47	74	81
48	76	79
49	77	77
50	79	76
51	81	74
52	82	73
53	84	71
54	85	69
55	86	68
56	88	66
57	89	64
58	91	63
59	92	61
60	94	60
61	96	59
62	97	57
63	99	55
64	100	54
65	102	52
66	104	51
67	105	49
68	107	48
69	108	46
70	110	45
71	112	43
72	113	42
73	115	40
74	117	39
75	118	37
76	120	35
77	121	34
78	123	32
79	125	31
80	126	29
81	129	28
82	130	26
83	132	25
84	133	23
85	135	22
86	136	20
87	138	18
88	139	17
89	141	15
90	142	14
91	144	12
92	145	10
93	147	9
94	149	7
95	150	6
96	152	4
97	153	3
98	155	1
99	156	0
